committee,n_members,n_eval_judges,MPA,MRD,MSD
claude_4_5_haiku+claude_4_5_sonnet,2,10,0.9363636363636365,0.65,0.17143760964412108
claude_4_5_haiku+gemma_3_12b_it,2,10,0.940909090909091,0.6166666666666666,0.09610644247128493
claude_4_5_haiku+gemma_3_27b_it,2,10,0.943939393939394,0.5833333333333333,0.08171370373340374
claude_4_5_haiku+gemma_3_4b_it,2,10,0.9666666666666668,0.35,0.08613009104857798
claude_4_5_haiku+gpt_120b_oss,2,10,0.9378787878787879,0.6499999999999999,0.15442541260645665
claude_4_5_haiku+gpt_5,2,10,0.9212121212121213,0.8333333333333333,0.20088210869248946
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,10,0.9484848484848485,0.5166666666666666,0.09171544611160498
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,10,0.943939393939394,0.5833333333333333,0.09593108324062027
claude_4_5_haiku+qwen3_235b_instruct,2,10,0.9454545454545453,0.5499999999999999,0.10522371478571498
claude_4_5_haiku+qwen3_30b_instruct,2,10,0.9424242424242426,0.5999999999999999,0.08464657994003026
claude_4_5_haiku+qwen3_4b_instruct,2,10,0.9393939393939394,0.6333333333333333,0.07205635187797756
claude_4_5_sonnet+gemma_3_12b_it,2,10,0.9409090909090908,0.6,0.0992287522872253
claude_4_5_sonnet+gemma_3_27b_it,2,10,0.9257575757575758,0.7666666666666667,0.07856735042393229
claude_4_5_sonnet+gemma_3_4b_it,2,10,0.9484848484848485,0.5499999999999999,0.08679639453153984
claude_4_5_sonnet+gpt_120b_oss,2,10,0.9378787878787879,0.6333333333333334,0.18311179175988432
claude_4_5_sonnet+gpt_5,2,10,0.9363636363636363,0.6666666666666666,0.22021729592826125
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,10,0.9303030303030301,0.7166666666666666,0.10162704273485704
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,10,0.9409090909090908,0.6,0.1026576923343949
claude_4_5_sonnet+qwen3_235b_instruct,2,10,0.9303030303030304,0.7166666666666666,0.12316336337963314
claude_4_5_sonnet+qwen3_30b_instruct,2,10,0.9333333333333332,0.6833333333333333,0.0857263925843597
claude_4_5_sonnet+qwen3_4b_instruct,2,10,0.9272727272727274,0.75,0.07445598402453836
gemma_3_12b_it+gemma_3_27b_it,2,10,0.9454545454545455,0.55,-0.08528498739583934
gemma_3_12b_it+gemma_3_4b_it,2,10,0.8772727272727273,1.3333333333333335,-0.08388149159209986
gemma_3_12b_it+gpt_120b_oss,2,10,0.9393939393939394,0.6333333333333333,0.05863240254526023
gemma_3_12b_it+gpt_5,2,10,0.8954545454545453,1.1166666666666667,0.11921599583578606
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,10,0.943939393939394,0.5833333333333333,-0.08634199719667161
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,10,0.915151515151515,0.9166666666666666,-0.053852583454721506
gemma_3_12b_it+qwen3_235b_instruct,2,10,0.95,0.4999999999999999,-0.030755825975252338
gemma_3_12b_it+qwen3_30b_instruct,2,10,0.943939393939394,0.5833333333333333,-0.0970635969834975
gemma_3_12b_it+qwen3_4b_instruct,2,10,0.9348484848484849,0.6833333333333333,-0.07375208445594296
gemma_3_27b_it+gemma_3_4b_it,2,10,0.8833333333333332,1.1333333333333333,-0.11305874444814812
gemma_3_27b_it+gpt_120b_oss,2,10,0.9424242424242426,0.6,0.035553735346793694
gemma_3_27b_it+gpt_5,2,10,0.9166666666666666,0.8833333333333332,0.0978092817836299
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,10,0.9530303030303031,0.4666666666666666,-0.1068967392092294
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,10,0.9242424242424242,0.7999999999999999,-0.07313727880448971
gemma_3_27b_it+qwen3_235b_instruct,2,10,0.95,0.4999999999999999,-0.04976594898591793
gemma_3_27b_it+qwen3_30b_instruct,2,10,0.943939393939394,0.5666666666666667,-0.11541105944057942
gemma_3_27b_it+qwen3_4b_instruct,2,10,0.943939393939394,0.5666666666666667,-0.10146124050139627
gemma_3_4b_it+gpt_120b_oss,2,10,0.9621212121212122,0.4,0.04789399922733767
gemma_3_4b_it+gpt_5,2,10,0.9575757575757576,0.4666666666666666,0.1100570364344811
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,10,0.8969696969696969,1.1166666666666667,-0.08939997395738677
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,10,0.9015151515151514,1.0666666666666667,-0.07134704815202818
gemma_3_4b_it+qwen3_235b_instruct,2,10,0.9515151515151515,0.5166666666666667,-0.03464319012115129
gemma_3_4b_it+qwen3_30b_instruct,2,10,0.8818181818181818,1.1333333333333333,-0.11797381238778844
gemma_3_4b_it+qwen3_4b_instruct,2,10,0.8848484848484848,1.1166666666666667,-0.0998348757162268
gpt_120b_oss+gpt_5,2,10,0.9136363636363637,0.9166666666666664,0.19430004510249962
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,10,0.95,0.5,0.05957047624304466
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,10,0.9424242424242426,0.6,0.06442389737140317
gpt_120b_oss+qwen3_235b_instruct,2,10,0.9469696969696969,0.5333333333333333,0.08419494483228171
gpt_120b_oss+qwen3_30b_instruct,2,10,0.940909090909091,0.6166666666666667,0.04281896395550798
gpt_120b_oss+qwen3_4b_instruct,2,10,0.9378787878787879,0.6500000000000001,0.03215142951232426
gpt_5+llama_4_maverick_17b_128e_instruct,2,10,0.9181818181818182,0.8666666666666666,0.12081282905109825
gpt_5+llama_4_scout_17b_16e_instruct,2,10,0.9166666666666666,0.8833333333333332,0.1263146081049416
gpt_5+qwen3_235b_instruct,2,10,0.9242424242424244,0.8,0.1459929465917897
gpt_5+qwen3_30b_instruct,2,10,0.9181818181818182,0.8666666666666666,0.1050556445661817
gpt_5+qwen3_4b_instruct,2,10,0.9151515151515153,0.8999999999999998,0.09566281781091791
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,10,0.9378787878787881,0.65,-0.06698551183495496
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,10,0.9484848484848485,0.5166666666666666,-0.023281860885304397
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,10,0.9333333333333333,0.7,-0.10443033245013748
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,10,0.9484848484848485,0.5166666666666666,-0.11268288914709512
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,10,0.940909090909091,0.6166666666666667,-0.0202086795534782
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,10,0.9287878787878789,0.7666666666666666,-0.0770892774772708
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,10,0.9287878787878787,0.7666666666666667,-0.07094126475416307
qwen3_235b_instruct+qwen3_30b_instruct,2,10,0.9484848484848485,0.5166666666666667,-0.04304983543184121
qwen3_235b_instruct+qwen3_4b_instruct,2,10,0.9393939393939394,0.6333333333333333,-0.05758847622060931
qwen3_30b_instruct+qwen3_4b_instruct,2,10,0.9272727272727274,0.7833333333333333,-0.1171609856603335
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,9,0.936026936026936,0.6481481481481481,0.0947996758321226
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,9,0.936026936026936,0.6481481481481481,0.07721227776932973
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,9,0.9579124579124579,0.4444444444444444,0.08126877392524606
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,9,0.9326599326599327,0.6851851851851852,0.14894190627935852
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,9,0.9377104377104379,0.6481481481481481,0.16689200758924153
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,9,0.9259259259259258,0.7592592592592592,0.08309112126279877
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,9,0.936026936026936,0.6481481481481481,0.09296121579350264
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,9,0.930976430976431,0.7037037037037037,0.10064705218616352
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,9,0.9343434343434345,0.6666666666666666,0.08127693973353675
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,9,0.925925925925926,0.7592592592592592,0.08432152059143894
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,9,0.9410774410774412,0.5925925925925926,-0.05861941951728311
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,9,0.9040404040404041,1.037037037037037,-0.06113989485912078
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,9,0.9461279461279462,0.537037037037037,0.0619719440025908
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,9,0.930976430976431,0.7222222222222222,0.08094121706913518
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9478114478114479,0.5185185185185185,-0.051569952894051224
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,9,0.9410774410774412,0.5925925925925926,-0.028314433579603577
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,9,0.9444444444444444,0.5555555555555555,0.0016254807781268255
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,9,0.9478114478114479,0.5185185185185185,-0.06634474811025337
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,9,0.936026936026936,0.6481481481481481,-0.043304117085769936
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,9,0.882154882154882,1.1481481481481481,-0.08767488860297275
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,9,0.9461279461279462,0.537037037037037,0.04319023645090743
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,9,0.9545454545454545,0.4629629629629629,0.06262248220391996
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9393939393939394,0.6111111111111112,-0.06927459051379509
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,9,0.9326599326599327,0.7037037037037037,-0.04705979130343854
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,9,0.9444444444444444,0.5555555555555555,-0.015946175564611326
claude_4_5_haiku+gemma_3_27b_it+qwen3_30b_instruct,3,9,0.9377104377104379,0.6296296296296295,-0.0837405862483957
claude_4_5_haiku+gemma_3_27b_it+qwen3_4b_instruct,3,9,0.9343434343434345,0.6666666666666665,-0.068336304796794
claude_4_5_haiku+gemma_3_4b_it+gpt_120b_oss,3,9,0.9595959595959597,0.42592592592592593,0.047903140281248965
claude_4_5_haiku+gemma_3_4b_it+gpt_5,3,9,0.9680134680134681,0.35185185185185186,0.06823955534722853
claude_4_5_haiku+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9107744107744108,0.9629629629629631,-0.062340046035045206
claude_4_5_haiku+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,9,0.9158249158249158,0.9074074074074076,-0.05187991864613098
claude_4_5_haiku+gemma_3_4b_it+qwen3_235b_instruct,3,9,0.9579124579124579,0.4444444444444444,-0.009664893939929448
claude_4_5_haiku+gemma_3_4b_it+qwen3_30b_instruct,3,9,0.8804713804713804,1.1481481481481481,-0.09043785954384724
claude_4_5_haiku+gemma_3_4b_it+qwen3_4b_instruct,3,9,0.8838383838383838,1.1296296296296298,-0.08197484143980033
claude_4_5_haiku+gpt_120b_oss+gpt_5,3,9,0.9393939393939394,0.6296296296296295,0.1474033572932715
claude_4_5_haiku+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,9,0.9444444444444444,0.5555555555555556,0.05089903658605607
claude_4_5_haiku+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,9,0.9461279461279462,0.537037037037037,0.06285431197728938
claude_4_5_haiku+gpt_120b_oss+qwen3_235b_instruct,3,9,0.941077441077441,0.5925925925925926,0.07425191506645629
claude_4_5_haiku+gpt_120b_oss+qwen3_30b_instruct,3,9,0.9444444444444444,0.5555555555555556,0.043327145107323835
claude_4_5_haiku+gpt_120b_oss+qwen3_4b_instruct,3,9,0.941077441077441,0.5925925925925926,0.050938944241147324
claude_4_5_haiku+gpt_5+llama_4_maverick_17b_128e_instruct,3,9,0.9528619528619527,0.48148148148148145,0.07028900255728922
claude_4_5_haiku+gpt_5+llama_4_scout_17b_16e_instruct,3,9,0.9545454545454545,0.462962962962963,0.08236079842607719
claude_4_5_haiku+gpt_5+qwen3_235b_instruct,3,9,0.9494949494949496,0.5185185185185185,0.093995926095708
claude_4_5_haiku+gpt_5+qwen3_30b_instruct,3,9,0.9528619528619529,0.48148148148148145,0.06337432026170747
claude_4_5_haiku+gpt_5+qwen3_4b_instruct,3,9,0.9494949494949496,0.5185185185185186,0.07060973833736815
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,9,0.9393939393939394,0.6296296296296295,-0.0411568598319271
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,9,0.9427609427609427,0.574074074074074,-0.0034904397619764877
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,9,0.941077441077441,0.5925925925925926,-0.07220188214143342
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,9,0.9377104377104377,0.6296296296296297,-0.06456258143373796
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,9,0.9444444444444444,0.5555555555555556,0.00479203168552628
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,9,0.9360269360269362,0.6666666666666666,-0.053992383538469496
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,9,0.9393939393939394,0.6111111111111112,-0.041286286858038396
claude_4_5_haiku+qwen3_235b_instruct+qwen3_30b_instruct,3,9,0.9427609427609427,0.5740740740740741,-0.016700408682137253
claude_4_5_haiku+qwen3_235b_instruct+qwen3_4b_instruct,3,9,0.9393939393939394,0.6111111111111112,-0.011716969375590735
claude_4_5_haiku+qwen3_30b_instruct+qwen3_4b_instruct,3,9,0.9410774410774412,0.5925925925925926,-0.0823535455221006
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_27b_it,3,9,0.9444444444444444,0.5555555555555556,-0.04443723057929126
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_4b_it,3,9,0.9040404040404041,1.037037037037037,-0.04791164283753799
claude_4_5_sonnet+gemma_3_12b_it+gpt_120b_oss,3,9,0.9377104377104377,0.6296296296296297,0.08336604288509718
claude_4_5_sonnet+gemma_3_12b_it+gpt_5,3,9,0.9427609427609427,0.5925925925925926,0.10867605841345282
claude_4_5_sonnet+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9427609427609427,0.5740740740740741,-0.03442698552380603
claude_4_5_sonnet+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,9,0.9528619528619529,0.462962962962963,-0.011729212272006816
claude_4_5_sonnet+gemma_3_12b_it+qwen3_235b_instruct,3,9,0.9427609427609427,0.5740740740740741,0.01656557691784505
claude_4_5_sonnet+gemma_3_12b_it+qwen3_30b_instruct,3,9,0.9511784511784511,0.48148148148148145,-0.0487757075913415
claude_4_5_sonnet+gemma_3_12b_it+qwen3_4b_instruct,3,9,0.936026936026936,0.6481481481481481,-0.029497983211276876
claude_4_5_sonnet+gemma_3_27b_it+gemma_3_4b_it,3,9,0.882154882154882,1.1481481481481481,-0.07837861078045626
claude_4_5_sonnet+gemma_3_27b_it+gpt_120b_oss,3,9,0.9494949494949496,0.5,0.06909235185483303
claude_4_5_sonnet+gemma_3_27b_it+gpt_5,3,9,0.9427609427609427,0.5925925925925926,0.09474748007709669
claude_4_5_sonnet+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,9,0.9393939393939394,0.6111111111111112,-0.0544307145541916
claude_4_5_sonnet+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,9,0.9528619528619529,0.462962962962963,-0.03397982763338667
claude_4_5_sonnet+gemma_3_27b_it+qwen3_235b_instruct,3,9,0.9393939393939394,0.6111111111111112,-0.0012705120447480092
