committee,n_members,n_eval_judges,MPA,MRD,MSD
claude_4_5_haiku+claude_4_5_sonnet,2,10,0.9409090909090908,0.6166666666666666,0.1686513088631363
claude_4_5_haiku+gemma_3_12b_it,2,10,0.9454545454545455,0.5666666666666667,0.09646374581302634
claude_4_5_haiku+gemma_3_27b_it,2,10,0.946969696969697,0.55,0.08318622694408895
claude_4_5_haiku+gemma_3_4b_it,2,10,0.9712121212121211,0.31666666666666665,0.0878512526969906
claude_4_5_haiku+gpt_120b_oss,2,10,0.9424242424242426,0.6,0.15521986990223474
claude_4_5_haiku+gpt_5,2,10,0.9348484848484848,0.6833333333333333,0.19873765202533292
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,10,0.946969696969697,0.5499999999999999,0.09270042243450823
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,10,0.9484848484848486,0.5333333333333333,0.09753214728801267
claude_4_5_haiku+qwen3_235b_instruct,2,10,0.943939393939394,0.5833333333333333,0.10637232093180768
claude_4_5_haiku+qwen3_30b_instruct,2,10,0.946969696969697,0.55,0.08560905701380178
claude_4_5_haiku+qwen3_4b_instruct,2,10,0.943939393939394,0.5833333333333333,0.07545906103192437
claude_4_5_sonnet+gemma_3_12b_it,2,10,0.9439393939393941,0.5833333333333333,0.09621091521714949
claude_4_5_sonnet+gemma_3_27b_it,2,10,0.9424242424242426,0.5999999999999999,0.07682485617867726
claude_4_5_sonnet+gemma_3_4b_it,2,10,0.9515151515151515,0.5333333333333334,0.08559430779763703
claude_4_5_sonnet+gpt_120b_oss,2,10,0.940909090909091,0.6166666666666666,0.18035648340172786
claude_4_5_sonnet+gpt_5,2,10,0.9363636363636365,0.6666666666666666,0.21514588034289056
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,10,0.9333333333333333,0.7,0.0989681224318423
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,10,0.9439393939393941,0.5833333333333333,0.1008741804155541
claude_4_5_sonnet+qwen3_235b_instruct,2,10,0.9333333333333333,0.7,0.12086779992493228
claude_4_5_sonnet+qwen3_30b_instruct,2,10,0.9363636363636365,0.6666666666666667,0.08409822150084525
claude_4_5_sonnet+qwen3_4b_instruct,2,10,0.9333333333333333,0.7,0.07461240617947588
gemma_3_12b_it+gemma_3_27b_it,2,10,0.946969696969697,0.5499999999999999,-0.08465714242807035
gemma_3_12b_it+gemma_3_4b_it,2,10,0.8772727272727272,1.35,-0.0835193653474173
gemma_3_12b_it+gpt_120b_oss,2,10,0.9454545454545455,0.5666666666666667,0.05912354967880236
