committee,n_members,MSD-SP,MSD-FSP
claude_4_5_haiku+claude_4_5_sonnet,2,0.0217756896193187,0.016767950906102592
claude_4_5_haiku+gemma_3_12b_it,2,0.02294471383412209,0.015876617467060348
claude_4_5_haiku+gemma_3_27b_it,2,0.02166205295929954,0.013998007477881522
claude_4_5_haiku+gemma_3_4b_it,2,0.0075113798362794835,0.00426820453381365
claude_4_5_haiku+gpt_120b_oss,2,0.024312525641434938,0.01853606759538809
claude_4_5_haiku+gpt_5,2,0.02134299775419991,0.017420218605618387
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,0.018966349301108652,0.012653693280525468
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,0.016095254273800288,0.011139053817812735
claude_4_5_haiku+qwen3_235b_instruct,2,0.022240660837240387,0.016009830243846175
claude_4_5_haiku+qwen3_30b_instruct,2,0.022802187089190743,0.016411571429773484
claude_4_5_haiku+qwen3_4b_instruct,2,0.021264621669910406,0.01824135030917317
claude_4_5_sonnet+gemma_3_12b_it,2,0.024055924398820577,0.016483743749731827
claude_4_5_sonnet+gemma_3_27b_it,2,0.02303625480915773,0.0147260250025656
claude_4_5_sonnet+gemma_3_4b_it,2,0.007315305178469544,0.005447475569342881
claude_4_5_sonnet+gpt_120b_oss,2,0.022843139798753985,0.01839793372035569
claude_4_5_sonnet+gpt_5,2,0.022340596237783526,0.016881944179372017
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,0.022502963379725207,0.015823336440998405
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,0.01827210855256112,0.0138301405477891
claude_4_5_sonnet+qwen3_235b_instruct,2,0.023531023257175692,0.01514646095351275
claude_4_5_sonnet+qwen3_30b_instruct,2,0.021574490866362424,0.015234953087178316
claude_4_5_sonnet+qwen3_4b_instruct,2,0.017931903531921336,0.0171033346664868
gemma_3_12b_it+gemma_3_27b_it,2,0.021684755639755464,0.015273931368296492
gemma_3_12b_it+gemma_3_4b_it,2,0.019987028090565045,0.013709996185997686
gemma_3_12b_it+gpt_120b_oss,2,0.022226797260370634,0.01476425226294802
gemma_3_12b_it+gpt_5,2,0.020114567639309258,0.013723245470106457
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,0.02376636011914605,0.01766616732555224
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,0.021948068844858754,0.016385656306721293
gemma_3_12b_it+qwen3_235b_instruct,2,0.022992725274069918,0.016508183854447328
gemma_3_12b_it+qwen3_30b_instruct,2,0.023184226284714216,0.016938506709074253
gemma_3_12b_it+qwen3_4b_instruct,2,0.02260467615149144,0.017200202505683052
gemma_3_27b_it+gemma_3_4b_it,2,0.018337579317128445,0.01247350925096108
gemma_3_27b_it+gpt_120b_oss,2,0.020794655445806852,0.013009737611293978
gemma_3_27b_it+gpt_5,2,0.019066586567526467,0.011974863392501105
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,0.022852603695140354,0.016191768913564296
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,0.02158421019518088,0.014744139751324275
gemma_3_27b_it+qwen3_235b_instruct,2,0.021889828881063753,0.014734067983868537
gemma_3_27b_it+qwen3_30b_instruct,2,0.022204898958812093,0.01568825694754875
gemma_3_27b_it+qwen3_4b_instruct,2,0.021512723870093224,0.01624291577318008
gemma_3_4b_it+gpt_120b_oss,2,0.010983367610573886,0.005327817316433096
gemma_3_4b_it+gpt_5,2,0.005130399171338302,0.004322987152683299
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,0.012093962485043405,0.007051880352747844
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,0.010272818860351465,0.00502537250794564
gemma_3_4b_it+qwen3_235b_instruct,2,0.009548786309227845,0.006427737947568882
gemma_3_4b_it+qwen3_30b_instruct,2,0.014852078213029873,0.008539721260670293
gemma_3_4b_it+qwen3_4b_instruct,2,0.01492369960578071,0.009257354495216242
gpt_120b_oss+gpt_5,2,0.020561221651708754,0.01881724696012259
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,0.025064133141336098,0.018236849753718875
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,0.021847905840788565,0.015972628522733814
gpt_120b_oss+qwen3_235b_instruct,2,0.024186783048137716,0.01802130490644364
gpt_120b_oss+qwen3_30b_instruct,2,0.023185017572931545,0.016954678735752446
gpt_120b_oss+qwen3_4b_instruct,2,0.02234643735714311,0.018179522386715753
gpt_5+llama_4_maverick_17b_128e_instruct,2,0.023029299761483858,0.017003304973694164
gpt_5+llama_4_scout_17b_16e_instruct,2,0.017958157141286034,0.014655207870762691
gpt_5+qwen3_235b_instruct,2,0.023806678272579613,0.016584818240626704
gpt_5+qwen3_30b_instruct,2,0.021587788620314675,0.016313868540964453
gpt_5+qwen3_4b_instruct,2,0.019168223079226387,0.017774295707293535
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,0.018048122591511916,0.012482549458277398
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,0.022017594900986835,0.016173772889849232
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,0.02243472188882887,0.016278272646241064
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,0.023644585945293527,0.019022281812215828
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,0.020136186012335175,0.015098979786450589
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,0.022301813712500815,0.016344637113970408
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,0.02411266006948342,0.019214535962843032
qwen3_235b_instruct+qwen3_30b_instruct,2,0.02306536396813063,0.01739001913854422
qwen3_235b_instruct+qwen3_4b_instruct,2,0.02238481044029666,0.018834586255380776
qwen3_30b_instruct+qwen3_4b_instruct,2,0.02305214713404382,0.01743434911615989
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,0.025655361573028154,0.018120824699424658
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,0.023958008525100202,0.016021524980045734
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,0.0061021034853607275,0.00416639719908989
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,0.025876059913851685,0.02108956710780934
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,0.022596324961961286,0.019462803846580858
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,0.020847144772493886,0.014373025680356817
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,0.017680335481114178,0.01326918075332333
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,0.02293200893975588,0.016104593039935992
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,0.023263699409222207,0.01714112689033649
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,0.021402194644585874,0.019322965706674
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,0.026664706942796008,0.018643979437641293
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,0.018660622298179958,0.011566534608082692
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,0.02544768948882921,0.01819602328268018
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,0.021421310452338676,0.016304465856675984
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,0.02662908783962591,0.019423793026102663
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,0.02483077420104835,0.0177826108684322
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,0.024858660122883038,0.017410932122426965
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,0.027255845845454034,0.019478312101986143
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,0.027262545896927178,0.02041949375134706
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,0.01695098671266139,0.009890729800200861
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,0.02369789685929163,0.016087625456512576
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,0.020090207768720225,0.014328761297959045
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.024761361415953698,0.01714624263347453
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.023394263165762166,0.015576789557586365
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,0.023121094048893374,0.015283874897582785
claude_4_5_haiku+gemma_3_27b_it+qwen3_30b_instruct,3,0.025013712799404498,0.017266809418387555
claude_4_5_haiku+gemma_3_27b_it+qwen3_4b_instruct,3,0.025122512530596712,0.01835598148929981
claude_4_5_haiku+gemma_3_4b_it+gpt_120b_oss,3,0.010950083365444651,0.006356472648895658
claude_4_5_haiku+gemma_3_4b_it+gpt_5,3,0.0034827449764378957,0.004689152603415698
claude_4_5_haiku+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.009685582976921228,0.004383910892498046
claude_4_5_haiku+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.007813534857638553,0.002238391127102469
claude_4_5_haiku+gemma_3_4b_it+qwen3_235b_instruct,3,0.007262869179386826,0.0042196142579508655
claude_4_5_haiku+gemma_3_4b_it+qwen3_30b_instruct,3,0.012469084916078104,0.005464291079529772
claude_4_5_haiku+gemma_3_4b_it+qwen3_4b_instruct,3,0.012291549504489966,0.0060728870520558274
claude_4_5_haiku+gpt_120b_oss+gpt_5,3,0.022710582225733016,0.021292836271918796
claude_4_5_haiku+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.02573933354541713,0.018773673001614158
claude_4_5_haiku+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.021246247291864626,0.016228811210698905
claude_4_5_haiku+gpt_120b_oss+qwen3_235b_instruct,3,0.025993347607095523,0.019765843154091373
claude_4_5_haiku+gpt_120b_oss+qwen3_30b_instruct,3,0.025131970474599013,0.018964274227882747
claude_4_5_haiku+gpt_120b_oss+qwen3_4b_instruct,3,0.02403847924966003,0.020616593104528003
claude_4_5_haiku+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.01896706436405459,0.015164878959219221
claude_4_5_haiku+gpt_5+llama_4_scout_17b_16e_instruct,3,0.014685236958931659,0.012480590805871154
claude_4_5_haiku+gpt_5+qwen3_235b_instruct,3,0.021821283917580116,0.018198032985902626
claude_4_5_haiku+gpt_5+qwen3_30b_instruct,3,0.021287739964384135,0.017784853722275295
claude_4_5_haiku+gpt_5+qwen3_4b_instruct,3,0.02041149059062736,0.019357287484317517
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.018762913378177544,0.012411707574177271
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.021830735056118388,0.015525125682040626
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.023762645578877677,0.01686916384419909
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.02495454574875727,0.019455696720668266
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.019565354897411246,0.014096153996888615
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.02264671545921472,0.015682201313212803
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.025070712918131607,0.019309516332256284
claude_4_5_haiku+qwen3_235b_instruct+qwen3_30b_instruct,3,0.023091686240495127,0.017014066097648297
claude_4_5_haiku+qwen3_235b_instruct+qwen3_4b_instruct,3,0.022959856370932934,0.018787289726328663
claude_4_5_haiku+qwen3_30b_instruct+qwen3_4b_instruct,3,0.025089242978607304,0.018374592561795182
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_27b_it,3,0.024661326432752845,0.01855614385867725
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_4b_it,3,0.01656901555506399,0.011104140661404934
claude_4_5_sonnet+gemma_3_12b_it+gpt_120b_oss,3,0.026020990029481134,0.01872589782056942
claude_4_5_sonnet+gemma_3_12b_it+gpt_5,3,0.02303952141655038,0.017038420432962772
claude_4_5_sonnet+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,0.025677995676890216,0.01885845163494612
claude_4_5_sonnet+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,0.02316089141118333,0.017817582793343438
claude_4_5_sonnet+gemma_3_12b_it+qwen3_235b_instruct,3,0.02412874292600302,0.016274940179189585
claude_4_5_sonnet+gemma_3_12b_it+qwen3_30b_instruct,3,0.024386996091676407,0.018689606176747097
claude_4_5_sonnet+gemma_3_12b_it+qwen3_4b_instruct,3,0.02476952686537462,0.019903296641894802
claude_4_5_sonnet+gemma_3_27b_it+gemma_3_4b_it,3,0.014791998626079958,0.009606609840144935
claude_4_5_sonnet+gemma_3_27b_it+gpt_120b_oss,3,0.024414590412229722,0.01681608102250768
claude_4_5_sonnet+gemma_3_27b_it+gpt_5,3,0.022448824726691546,0.015197124210530547
claude_4_5_sonnet+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.02303124145836222,0.01640276264037565
claude_4_5_sonnet+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.021620528428586527,0.015606902057933905
claude_4_5_sonnet+gemma_3_27b_it+qwen3_235b_instruct,3,0.02246771999806154,0.014303135990369734
claude_4_5_sonnet+gemma_3_27b_it+qwen3_30b_instruct,3,0.022242064977643684,0.016552971775046617
claude_4_5_sonnet+gemma_3_27b_it+qwen3_4b_instruct,3,0.022681825384316637,0.017909808017726583
claude_4_5_sonnet+gemma_3_4b_it+gpt_120b_oss,3,0.009276790992109334,0.0065636169161003115
claude_4_5_sonnet+gemma_3_4b_it+gpt_5,3,0.004181919624505075,0.0048993676175397
claude_4_5_sonnet+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.007840747395345876,0.0038885965064764877
claude_4_5_sonnet+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.005790678610964967,0.0019911572049647894
claude_4_5_sonnet+gemma_3_4b_it+qwen3_235b_instruct,3,0.006086970384009394,0.0033464054440409344
claude_4_5_sonnet+gemma_3_4b_it+qwen3_30b_instruct,3,0.009710302872688533,0.004662312516102394
claude_4_5_sonnet+gemma_3_4b_it+qwen3_4b_instruct,3,0.00923545258923965,0.005236170639092971
claude_4_5_sonnet+gpt_120b_oss+gpt_5,3,0.022779820030910634,0.020816766763575783
claude_4_5_sonnet+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.026524230911645116,0.02049428614566147
claude_4_5_sonnet+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.022148520347754514,0.017707691991810673
claude_4_5_sonnet+gpt_120b_oss+qwen3_235b_instruct,3,0.025259010254223304,0.019145490683847494
claude_4_5_sonnet+gpt_120b_oss+qwen3_30b_instruct,3,0.02446546305306748,0.018725881977742317
claude_4_5_sonnet+gpt_120b_oss+qwen3_4b_instruct,3,0.022607733749621054,0.020473790650379957
claude_4_5_sonnet+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.023512455380545392,0.018164740947673133
claude_4_5_sonnet+gpt_5+llama_4_scout_17b_16e_instruct,3,0.018308497483167856,0.015372945900267705
claude_4_5_sonnet+gpt_5+qwen3_235b_instruct,3,0.02409564003130415,0.017419969730570597
claude_4_5_sonnet+gpt_5+qwen3_30b_instruct,3,0.022234457959263935,0.017218136894752042
claude_4_5_sonnet+gpt_5+qwen3_4b_instruct,3,0.01888345993906286,0.01909999073615793
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.01739824828445473,0.012023543405249236
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.021759962690104568,0.015301758479541886
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.021897687280663207,0.015880775459003148
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.022231471934084663,0.017881186713716152
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.0189019282952138,0.013472966955960876
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.020242692361572126,0.015215943958128761
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.022550139456869494,0.018866978235920037
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_30b_instruct,3,0.02179412065848109,0.015680630218243327
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_4b_instruct,3,0.020701799884865497,0.016856217176450215
claude_4_5_sonnet+qwen3_30b_instruct+qwen3_4b_instruct,3,0.022167530353254514,0.0176152876543857
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it,3,0.02133878395866655,0.01383109459644416
gemma_3_12b_it+gemma_3_27b_it+gpt_120b_oss,3,0.020040268573867683,0.012548696027974683
gemma_3_12b_it+gemma_3_27b_it+gpt_5,3,0.011058588817231128,0.008361987510897012
gemma_3_12b_it+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.030169503092931958,0.023168306568523176
gemma_3_12b_it+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.027234115236992984,0.020758472639717574
gemma_3_12b_it+gemma_3_27b_it+qwen3_235b_instruct,3,0.02301121187080325,0.017205120662893095
gemma_3_12b_it+gemma_3_27b_it+qwen3_30b_instruct,3,0.024646136650274948,0.018026133324153277
gemma_3_12b_it+gemma_3_27b_it+qwen3_4b_instruct,3,0.02544887154577116,0.018880331032395895
gemma_3_12b_it+gemma_3_4b_it+gpt_120b_oss,3,0.020667852283066737,0.010819793824316543
gemma_3_12b_it+gemma_3_4b_it+gpt_5,3,0.006640170428301425,0.0070969237035421896
gemma_3_12b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.023908069068734362,0.01677820044417138
gemma_3_12b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.020554241552339047,0.013426372554131741
gemma_3_12b_it+gemma_3_4b_it+qwen3_235b_instruct,3,0.017144614029042216,0.01271039799363438
gemma_3_12b_it+gemma_3_4b_it+qwen3_30b_instruct,3,0.01954059450615607,0.011736038842597933
gemma_3_12b_it+gemma_3_4b_it+qwen3_4b_instruct,3,0.0197479153328832,0.011622847504052007
gemma_3_12b_it+gpt_120b_oss+gpt_5,3,0.019785425878128253,0.016174414626129462
gemma_3_12b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.026904154004548417,0.01953488254716193
