committee,n_members,MSD-SP,MSD-FSP
claude_4_5_haiku+claude_4_5_sonnet,2,0.019961816203690017,0.015695688937699973
claude_4_5_haiku+gemma_3_12b_it,2,0.021373936894032827,0.015130487101348261
claude_4_5_haiku+gemma_3_27b_it,2,0.020017465726530022,0.013211772678431436
claude_4_5_haiku+gemma_3_4b_it,2,0.005834703195943874,0.0031363660220151356
claude_4_5_haiku+gpt_120b_oss,2,0.022763194671029854,0.017566069832074444
claude_4_5_haiku+gpt_5,2,0.019613893597000706,0.016412126055726246
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,0.01770441621358352,0.012231298490068565
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,0.014869618668987908,0.010612795681795555
claude_4_5_haiku+qwen3_235b_instruct,2,0.02054728429385605,0.015263869871178453
claude_4_5_haiku+qwen3_30b_instruct,2,0.021557614724298558,0.015841898451570323
claude_4_5_haiku+qwen3_4b_instruct,2,0.020003536760924895,0.017685098565729435
claude_4_5_sonnet+gemma_3_12b_it,2,0.02249138376829328,0.015681047472002947
claude_4_5_sonnet+gemma_3_27b_it,2,0.02120190980160811,0.013898634123391956
claude_4_5_sonnet+gemma_3_4b_it,2,0.005552951939205468,0.004254603046587277
claude_4_5_sonnet+gpt_120b_oss,2,0.021280971233230576,0.01748164284025779
claude_4_5_sonnet+gpt_5,2,0.02049244004779256,0.01593425630223085
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,0.020934167175652954,0.015101087609801996
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,0.016709629402012153,0.01297354631616715
claude_4_5_sonnet+qwen3_235b_instruct,2,0.021595836114554123,0.014284843570238754
claude_4_5_sonnet+qwen3_30b_instruct,2,0.020275299761621256,0.014569123407471084
claude_4_5_sonnet+qwen3_4b_instruct,2,0.016644636315069388,0.01645454674971497
gemma_3_12b_it+gemma_3_27b_it,2,0.020099568213199366,0.01446282919393071
gemma_3_12b_it+gemma_3_4b_it,2,0.01843626313354895,0.012900275744630842
gemma_3_12b_it+gpt_120b_oss,2,0.020710835972283077,0.014049053678741489
gemma_3_12b_it+gpt_5,2,0.018754077257139685,0.013011664784264753
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,0.022376074449802705,0.016938017117938766
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,0.020442769519815725,0.015590238794890892
gemma_3_12b_it+qwen3_235b_instruct,2,0.021457946668988242,0.015658903152427336
gemma_3_12b_it+qwen3_30b_instruct,2,0.021694909135837565,0.016186913464718067
gemma_3_12b_it+qwen3_4b_instruct,2,0.021045334720557578,0.016415283976942557
gemma_3_27b_it+gemma_3_4b_it,2,0.016611677953725017,0.011553381657557572
gemma_3_27b_it+gpt_120b_oss,2,0.018950672481007753,0.01213665524425667
gemma_3_27b_it+gpt_5,2,0.017295578766014775,0.011162670350783652
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,0.02127175800544593,0.015415297523397176
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,0.01990201126198026,0.013894387928495964
gemma_3_27b_it+qwen3_235b_instruct,2,0.020241276644039522,0.013898528971379026
gemma_3_27b_it+qwen3_30b_instruct,2,0.020699060517645317,0.014944147037778069
gemma_3_27b_it+qwen3_4b_instruct,2,0.019908320572184498,0.015496200211847602
gemma_3_4b_it+gpt_120b_oss,2,0.009015070008157749,0.003988715164736802
gemma_3_4b_it+gpt_5,2,0.003337902115592123,0.0029777529442337374
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,0.01031206855919929,0.006072450062648739
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,0.00845485430731731,0.003994111730185685
gemma_3_4b_it+qwen3_235b_instruct,2,0.007505986504106733,0.005145787442590475
gemma_3_4b_it+qwen3_30b_instruct,2,0.01309785607815402,0.007482744959953926
gemma_3_4b_it+qwen3_4b_instruct,2,0.013025817673009343,0.008192230341261823
gpt_120b_oss+gpt_5,2,0.01928016881253985,0.017841511811031493
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,0.023596448637750973,0.01757694481099346
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,0.020313941976061796,0.015175779064523035
gpt_120b_oss+qwen3_235b_instruct,2,0.02245113125518101,0.017176167684685346
gpt_120b_oss+qwen3_30b_instruct,2,0.021680290359326043,0.016205583956458096
gpt_120b_oss+qwen3_4b_instruct,2,0.020774936697090806,0.017362733490523818
gpt_5+llama_4_maverick_17b_128e_instruct,2,0.021547934971129952,0.01637622174608884
gpt_5+llama_4_scout_17b_16e_instruct,2,0.01645842644194696,0.013815705741108544
gpt_5+qwen3_235b_instruct,2,0.02193960905389643,0.01578226236424458
gpt_5+qwen3_30b_instruct,2,0.020268290960292295,0.015655799354524887
gpt_5+qwen3_4b_instruct,2,0.017958471785713043,0.017045110419676684
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,0.01627545695263332,0.011470033901775282
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,0.0204012982718481,0.015415119089694177
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,0.020985264953308914,0.015555234557721842
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,0.022236531521523085,0.01839937411317496
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,0.0184534661767686,0.01414866573204751
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,0.020806385059889666,0.015577458727776636
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,0.022593486136522907,0.018538388546897967
qwen3_235b_instruct+qwen3_30b_instruct,2,0.021567082403359007,0.0165643575950932
qwen3_235b_instruct+qwen3_4b_instruct,2,0.020797202091620455,0.01808782621941043
qwen3_30b_instruct+qwen3_4b_instruct,2,0.02150516644672517,0.01662423700083912
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,0.0240581690190957,0.0172671970224344
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,0.022079820380869884,0.015206787722255906
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,0.0042748929554615655,0.0028865951623206656
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,0.02432732248711225,0.020210806070958286
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,0.0212494323236581,0.01868508928324381
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,0.019317079337765275,0.01370856764774279
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,0.016026585198297152,0.01229893898359299
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,0.021093340941318612,0.015251697538757547
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,0.021836512660560622,0.01642743767211433
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,0.019909903392149653,0.018619251977546276
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,0.025467357067141157,0.018256650151636564
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,0.01743052292085259,0.011026284339906656
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,0.023980592711933115,0.01753722339248926
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,0.020427501804960897,0.015698307603398392
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,0.025478031291337307,0.018956719106504247
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,0.02358704743754669,0.017253191259096863
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,0.023620305972412468,0.016856910094727243
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,0.026200441541750753,0.019130264642077552
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,0.026135338162459144,0.020087935846974554
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,0.015415457997822254,0.009219322128191536
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,0.02192160134205196,0.015343745080528264
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,0.01872674230125205,0.013601269973548375
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.023291867758902993,0.016588398116418702
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.021916375222988158,0.01497445921924249
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,0.021661327825114398,0.014785609660726708
