committee,n_members,MRA
claude_4_5_haiku+claude_4_5_sonnet,2,0.7239732748629966
claude_4_5_haiku+gemma_3_12b_it,2,0.7613410031972326
claude_4_5_haiku+gemma_3_27b_it,2,0.7593657366155926
claude_4_5_haiku+gemma_3_4b_it,2,0.7501933481256298
claude_4_5_haiku+gpt_120b_oss,2,0.7341144422896612
claude_4_5_haiku+gpt_5,2,0.7112045821176278
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,0.7554348585705051
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,0.7512251690340164
claude_4_5_haiku+qwen3_235b_instruct,2,0.7465782623128396
claude_4_5_haiku+qwen3_30b_instruct,2,0.760178730541433
claude_4_5_haiku+qwen3_4b_instruct,2,0.7543807618614998
claude_4_5_sonnet+gemma_3_12b_it,2,0.7714169447501907
claude_4_5_sonnet+gemma_3_27b_it,2,0.770917413561158
claude_4_5_sonnet+gemma_3_4b_it,2,0.7591124039811078
claude_4_5_sonnet+gpt_120b_oss,2,0.735587848186779
claude_4_5_sonnet+gpt_5,2,0.7145931244940626
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,0.7635298553965674
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,0.760481710548538
claude_4_5_sonnet+qwen3_235b_instruct,2,0.7532577994420858
claude_4_5_sonnet+qwen3_30b_instruct,2,0.7705738129764546
claude_4_5_sonnet+qwen3_4b_instruct,2,0.7643242133584919
gemma_3_12b_it+gemma_3_27b_it,2,0.792125431684633
gemma_3_12b_it+gemma_3_4b_it,2,0.7749550116183588
gemma_3_12b_it+gpt_120b_oss,2,0.7850479876070839
gemma_3_12b_it+gpt_5,2,0.7585806966356261
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,0.8066357134953499
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,0.7945511644565577
gemma_3_12b_it+qwen3_235b_instruct,2,0.8040591458904789
gemma_3_12b_it+qwen3_30b_instruct,2,0.795529989342558
gemma_3_12b_it+qwen3_4b_instruct,2,0.7813848559498228
gemma_3_27b_it+gemma_3_4b_it,2,0.7854073122863416
gemma_3_27b_it+gpt_120b_oss,2,0.7855917792104175
gemma_3_27b_it+gpt_5,2,0.7588359219851961
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,0.8065080280238307
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,0.796083535708254
gemma_3_27b_it+qwen3_235b_instruct,2,0.8024632958866933
gemma_3_27b_it+qwen3_30b_instruct,2,0.8002479456761652
gemma_3_27b_it+qwen3_4b_instruct,2,0.7892086121448249
gemma_3_4b_it+gpt_120b_oss,2,0.7719665600922478
gemma_3_4b_it+gpt_5,2,0.7448787497597709
gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,2,0.7920864126351835
gemma_3_4b_it+llama_4_scout_17b_16e_instruct,2,0.7855265533367112
gemma_3_4b_it+qwen3_235b_instruct,2,0.7907960177274607
gemma_3_4b_it+qwen3_30b_instruct,2,0.7854911741239641
gemma_3_4b_it+qwen3_4b_instruct,2,0.7751847581110121
gpt_120b_oss+gpt_5,2,0.7256066879815505
gpt_120b_oss+llama_4_maverick_17b_128e_instruct,2,0.7788576445306357
gpt_120b_oss+llama_4_scout_17b_16e_instruct,2,0.7754804584447123
gpt_120b_oss+qwen3_235b_instruct,2,0.7688939555415787
gpt_120b_oss+qwen3_30b_instruct,2,0.784452655916045
gpt_120b_oss+qwen3_4b_instruct,2,0.7786666259004956
gpt_5+llama_4_maverick_17b_128e_instruct,2,0.7518484546709296
gpt_5+llama_4_scout_17b_16e_instruct,2,0.7486282183436123
gpt_5+qwen3_235b_instruct,2,0.7421066501272487
gpt_5+qwen3_30b_instruct,2,0.7580977631019562
gpt_5+qwen3_4b_instruct,2,0.7522872733837669
llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,2,0.7979137911956717
llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,2,0.7964652817815981
llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,2,0.8050573347077357
llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,2,0.8007193773258556
llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,2,0.7923033469026446
llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,2,0.7963185235657587
llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,2,0.7889350420182748
qwen3_235b_instruct+qwen3_30b_instruct,2,0.8017714357263076
qwen3_235b_instruct+qwen3_4b_instruct,2,0.7968930353908602
qwen3_30b_instruct+qwen3_4b_instruct,2,0.7860996092271316
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_12b_it,3,0.7897371487881124
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_27b_it,3,0.7880739860709111
claude_4_5_haiku+claude_4_5_sonnet+gemma_3_4b_it,3,0.7916992634264679
claude_4_5_haiku+claude_4_5_sonnet+gpt_120b_oss,3,0.7575409327947022
claude_4_5_haiku+claude_4_5_sonnet+gpt_5,3,0.7495287624749336
claude_4_5_haiku+claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,3,0.779070324233418
claude_4_5_haiku+claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,3,0.7808328140499639
claude_4_5_haiku+claude_4_5_sonnet+qwen3_235b_instruct,3,0.7684843849387764
claude_4_5_haiku+claude_4_5_sonnet+qwen3_30b_instruct,3,0.7872580155675006
claude_4_5_haiku+claude_4_5_sonnet+qwen3_4b_instruct,3,0.7892587933601614
claude_4_5_haiku+gemma_3_12b_it+gemma_3_27b_it,3,0.8020436793345926
claude_4_5_haiku+gemma_3_12b_it+gemma_3_4b_it,3,0.7988644033029658
claude_4_5_haiku+gemma_3_12b_it+gpt_120b_oss,3,0.8021908905078882
claude_4_5_haiku+gemma_3_12b_it+gpt_5,3,0.7974694561080988
claude_4_5_haiku+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,0.8136518465457789
claude_4_5_haiku+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,0.8076216886383388
claude_4_5_haiku+gemma_3_12b_it+qwen3_235b_instruct,3,0.8097093372002959
claude_4_5_haiku+gemma_3_12b_it+qwen3_30b_instruct,3,0.8069352963215325
claude_4_5_haiku+gemma_3_12b_it+qwen3_4b_instruct,3,0.7978424989274615
claude_4_5_haiku+gemma_3_27b_it+gemma_3_4b_it,3,0.807027020206432
claude_4_5_haiku+gemma_3_27b_it+gpt_120b_oss,3,0.8009806852469814
claude_4_5_haiku+gemma_3_27b_it+gpt_5,3,0.7963422391240061
claude_4_5_haiku+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.811893886303796
claude_4_5_haiku+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.8071470539323502
claude_4_5_haiku+gemma_3_27b_it+qwen3_235b_instruct,3,0.8065329730380308
claude_4_5_haiku+gemma_3_27b_it+qwen3_30b_instruct,3,0.809612760199793
claude_4_5_haiku+gemma_3_27b_it+qwen3_4b_instruct,3,0.8027172917803105
claude_4_5_haiku+gemma_3_4b_it+gpt_120b_oss,3,0.8039279823527775
claude_4_5_haiku+gemma_3_4b_it+gpt_5,3,0.7979604296366181
claude_4_5_haiku+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.8139572692877373
claude_4_5_haiku+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.8105403523620761
claude_4_5_haiku+gemma_3_4b_it+qwen3_235b_instruct,3,0.8112040968060676
claude_4_5_haiku+gemma_3_4b_it+qwen3_30b_instruct,3,0.8090742261383629
claude_4_5_haiku+gemma_3_4b_it+qwen3_4b_instruct,3,0.7966494413416858
claude_4_5_haiku+gpt_120b_oss+gpt_5,3,0.7561167051356964
claude_4_5_haiku+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.7922104582700001
claude_4_5_haiku+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.794137630476013
claude_4_5_haiku+gpt_120b_oss+qwen3_235b_instruct,3,0.7813129489536359
claude_4_5_haiku+gpt_120b_oss+qwen3_30b_instruct,3,0.8010824389041277
claude_4_5_haiku+gpt_120b_oss+qwen3_4b_instruct,3,0.8016549447747798
claude_4_5_haiku+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.7873709313905342
claude_4_5_haiku+gpt_5+llama_4_scout_17b_16e_instruct,3,0.7891944086931595
claude_4_5_haiku+gpt_5+qwen3_235b_instruct,3,0.7766085004584578
claude_4_5_haiku+gpt_5+qwen3_30b_instruct,3,0.7967147966318084
claude_4_5_haiku+gpt_5+qwen3_4b_instruct,3,0.797281802304777
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.8061481209707008
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.7987686351550636
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.8118249720622311
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.8130050880063984
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.7998096284519403
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.8083708479169458
claude_4_5_haiku+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.8051344668917219
claude_4_5_haiku+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8069720182295963
claude_4_5_haiku+qwen3_235b_instruct+qwen3_4b_instruct,3,0.8081291627599086
claude_4_5_haiku+qwen3_30b_instruct+qwen3_4b_instruct,3,0.8016080313239493
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_27b_it,3,0.8034808486352069
claude_4_5_sonnet+gemma_3_12b_it+gemma_3_4b_it,3,0.8012932258918247
claude_4_5_sonnet+gemma_3_12b_it+gpt_120b_oss,3,0.7964768321967337
claude_4_5_sonnet+gemma_3_12b_it+gpt_5,3,0.788016719306794
claude_4_5_sonnet+gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,3,0.8138407945132617
claude_4_5_sonnet+gemma_3_12b_it+llama_4_scout_17b_16e_instruct,3,0.8099769056405497
claude_4_5_sonnet+gemma_3_12b_it+qwen3_235b_instruct,3,0.8098702988678005
claude_4_5_sonnet+gemma_3_12b_it+qwen3_30b_instruct,3,0.806460661615544
claude_4_5_sonnet+gemma_3_12b_it+qwen3_4b_instruct,3,0.7996163126804147
claude_4_5_sonnet+gemma_3_27b_it+gemma_3_4b_it,3,0.8104572023147419
claude_4_5_sonnet+gemma_3_27b_it+gpt_120b_oss,3,0.7961301579721483
claude_4_5_sonnet+gemma_3_27b_it+gpt_5,3,0.7876695597706482
claude_4_5_sonnet+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.813343026622898
claude_4_5_sonnet+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.8109895890964081
claude_4_5_sonnet+gemma_3_27b_it+qwen3_235b_instruct,3,0.8080440714663334
claude_4_5_sonnet+gemma_3_27b_it+qwen3_30b_instruct,3,0.8101964282363325
claude_4_5_sonnet+gemma_3_27b_it+qwen3_4b_instruct,3,0.8057092375496554
claude_4_5_sonnet+gemma_3_4b_it+gpt_120b_oss,3,0.7999992235015035
claude_4_5_sonnet+gemma_3_4b_it+gpt_5,3,0.7904353503528863
claude_4_5_sonnet+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.8156468005997156
claude_4_5_sonnet+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.8145339811919122
claude_4_5_sonnet+gemma_3_4b_it+qwen3_235b_instruct,3,0.8129517037347636
claude_4_5_sonnet+gemma_3_4b_it+qwen3_30b_instruct,3,0.8108999682282698
claude_4_5_sonnet+gemma_3_4b_it+qwen3_4b_instruct,3,0.8001451405106382
claude_4_5_sonnet+gpt_120b_oss+gpt_5,3,0.7496593112846586
claude_4_5_sonnet+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.7870642144844147
claude_4_5_sonnet+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.7905248094505043
claude_4_5_sonnet+gpt_120b_oss+qwen3_235b_instruct,3,0.7767579764190349
claude_4_5_sonnet+gpt_120b_oss+qwen3_30b_instruct,3,0.7938593851814322
claude_4_5_sonnet+gpt_120b_oss+qwen3_4b_instruct,3,0.7975875485877757
claude_4_5_sonnet+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.7783171206918085
claude_4_5_sonnet+gpt_5+llama_4_scout_17b_16e_instruct,3,0.7817303168955072
claude_4_5_sonnet+gpt_5+qwen3_235b_instruct,3,0.7686662150033744
claude_4_5_sonnet+gpt_5+qwen3_30b_instruct,3,0.7857925364258681
claude_4_5_sonnet+gpt_5+qwen3_4b_instruct,3,0.789396783613811
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.8077886358150872
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.7981378918971735
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.8103166237327706
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.8149707615961961
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.8015793979418908
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.8094448423999239
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.8090412249522615
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8056213961572384
claude_4_5_sonnet+qwen3_235b_instruct+qwen3_4b_instruct,3,0.8098313121724551
claude_4_5_sonnet+qwen3_30b_instruct+qwen3_4b_instruct,3,0.8025361087977926
gemma_3_12b_it+gemma_3_27b_it+gemma_3_4b_it,3,0.7722914923589312
gemma_3_12b_it+gemma_3_27b_it+gpt_120b_oss,3,0.8004013850144849
gemma_3_12b_it+gemma_3_27b_it+gpt_5,3,0.8045074443557942
gemma_3_12b_it+gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,3,0.7883074209314228
gemma_3_12b_it+gemma_3_27b_it+llama_4_scout_17b_16e_instruct,3,0.7842225535282474
gemma_3_12b_it+gemma_3_27b_it+qwen3_235b_instruct,3,0.7969380399495536
gemma_3_12b_it+gemma_3_27b_it+qwen3_30b_instruct,3,0.7765015701446681
gemma_3_12b_it+gemma_3_27b_it+qwen3_4b_instruct,3,0.7698460074065014
gemma_3_12b_it+gemma_3_4b_it+gpt_120b_oss,3,0.7993657301447716
gemma_3_12b_it+gemma_3_4b_it+gpt_5,3,0.801559661938438
gemma_3_12b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.7877467243087384
gemma_3_12b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.7825393312665532
gemma_3_12b_it+gemma_3_4b_it+qwen3_235b_instruct,3,0.7975822101606123
gemma_3_12b_it+gemma_3_4b_it+qwen3_30b_instruct,3,0.77364308505441
gemma_3_12b_it+gemma_3_4b_it+qwen3_4b_instruct,3,0.7609178924018976
gemma_3_12b_it+gpt_120b_oss+gpt_5,3,0.7855429245133458
gemma_3_12b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.8119640947095217
gemma_3_12b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.8086473137358055
gemma_3_12b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.8107705518121857
gemma_3_12b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.8040142060399936
gemma_3_12b_it+gpt_120b_oss+qwen3_4b_instruct,3,0.796448198814675
gemma_3_12b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.8154057625247589
gemma_3_12b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,0.8121664696301732
gemma_3_12b_it+gpt_5+qwen3_235b_instruct,3,0.8142340586476373
gemma_3_12b_it+gpt_5+qwen3_30b_instruct,3,0.808463542424966
gemma_3_12b_it+gpt_5+qwen3_4b_instruct,3,0.8006616737813341
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,0.7977729376038162
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,0.8094820496195481
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,0.7918848142130286
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,0.7849477707698788
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,0.8059307013916794
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,0.7865742115790162
gemma_3_12b_it+llama_4_scout_17b_16e_instruct+qwen3_4b_instruct,3,0.7791432827379855
gemma_3_12b_it+qwen3_235b_instruct+qwen3_30b_instruct,3,0.8005904947524879
gemma_3_12b_it+qwen3_235b_instruct+qwen3_4b_instruct,3,0.7935353588296615
gemma_3_12b_it+qwen3_30b_instruct+qwen3_4b_instruct,3,0.7688525746425356
gemma_3_27b_it+gemma_3_4b_it+gpt_120b_oss,3,0.8086215922231087
gemma_3_27b_it+gemma_3_4b_it+gpt_5,3,0.811044752843764
gemma_3_27b_it+gemma_3_4b_it+llama_4_maverick_17b_128e_instruct,3,0.7959287536746174
gemma_3_27b_it+gemma_3_4b_it+llama_4_scout_17b_16e_instruct,3,0.7912482472164147
gemma_3_27b_it+gemma_3_4b_it+qwen3_235b_instruct,3,0.8048990907849688
gemma_3_27b_it+gemma_3_4b_it+qwen3_30b_instruct,3,0.7833758466260171
gemma_3_27b_it+gemma_3_4b_it+qwen3_4b_instruct,3,0.7713150454995765
gemma_3_27b_it+gpt_120b_oss+gpt_5,3,0.7848010449081434
gemma_3_27b_it+gpt_120b_oss+llama_4_maverick_17b_128e_instruct,3,0.811498680923179
gemma_3_27b_it+gpt_120b_oss+llama_4_scout_17b_16e_instruct,3,0.8098301797788143
gemma_3_27b_it+gpt_120b_oss+qwen3_235b_instruct,3,0.8091339194602818
gemma_3_27b_it+gpt_120b_oss+qwen3_30b_instruct,3,0.8078994486213592
gemma_3_27b_it+gpt_120b_oss+qwen3_4b_instruct,3,0.8023262924332163
gemma_3_27b_it+gpt_5+llama_4_maverick_17b_128e_instruct,3,0.8152045199977481
gemma_3_27b_it+gpt_5+llama_4_scout_17b_16e_instruct,3,0.8135876236492972
gemma_3_27b_it+gpt_5+qwen3_235b_instruct,3,0.8128441263388937
