committee,eval_judge,MSD-SP
claude_4_5_haiku+claude_4_5_sonnet,Gemma-27B,-0.0020622646864076055
claude_4_5_haiku+claude_4_5_sonnet,Gemma-12B,-0.015677143814674055
claude_4_5_haiku+claude_4_5_sonnet,Gemma-4B,0.14656321615459963
claude_4_5_haiku+claude_4_5_sonnet,Llama-Mav,0.002884455549800158
claude_4_5_haiku+claude_4_5_sonnet,Llama-Scout,0.04404285195519181
claude_4_5_haiku+claude_4_5_sonnet,Qwen-235B,-0.008779206407226015
claude_4_5_haiku+claude_4_5_sonnet,Qwen-30B,-0.007332842789227495
claude_4_5_haiku+claude_4_5_sonnet,Qwen-4B,0.0285360457572143
claude_4_5_haiku+claude_4_5_sonnet,GPT-120B,-0.024116662399077282
claude_4_5_haiku+claude_4_5_sonnet,GPT-5,0.03555971271670672
claude_4_5_haiku+gemma_3_12b_it,Gemma-27B,0.004774795015363514
claude_4_5_haiku+gemma_3_12b_it,Gemma-4B,0.14107331837215564
claude_4_5_haiku+gemma_3_12b_it,Llama-Mav,0.008152199556986983
claude_4_5_haiku+gemma_3_12b_it,Llama-Scout,0.044986575069193624
claude_4_5_haiku+gemma_3_12b_it,Qwen-235B,-0.005073829023381757
claude_4_5_haiku+gemma_3_12b_it,Qwen-30B,-0.017262781817525635
claude_4_5_haiku+gemma_3_12b_it,Qwen-4B,0.0012035381009224966
claude_4_5_haiku+gemma_3_12b_it,GPT-120B,-0.020996510300990513
claude_4_5_haiku+gemma_3_12b_it,GPT-5,0.04750196791091169
claude_4_5_haiku+gemma_3_12b_it,Claude-Sonnet,0.009380096056692239
claude_4_5_haiku+gemma_3_27b_it,Gemma-12B,-0.009897441893878978
claude_4_5_haiku+gemma_3_27b_it,Gemma-4B,0.14104447531618383
claude_4_5_haiku+gemma_3_27b_it,Llama-Mav,0.008243799950405167
claude_4_5_haiku+gemma_3_27b_it,Llama-Scout,0.045512982460997276
claude_4_5_haiku+gemma_3_27b_it,Qwen-235B,-0.0058513311275235486
claude_4_5_haiku+gemma_3_27b_it,Qwen-30B,-0.015948231022653053
claude_4_5_haiku+gemma_3_27b_it,Qwen-4B,0.001464836973389172
claude_4_5_haiku+gemma_3_27b_it,GPT-120B,-0.021958405914628647
claude_4_5_haiku+gemma_3_27b_it,GPT-5,0.04571379564781322
claude_4_5_haiku+gemma_3_27b_it,Claude-Sonnet,0.01185017687519576
claude_4_5_haiku+gemma_3_4b_it,Gemma-27B,-0.007749206086989202
claude_4_5_haiku+gemma_3_4b_it,Gemma-12B,-0.02460254826771341
claude_4_5_haiku+gemma_3_4b_it,Llama-Mav,0.018168141335611787
claude_4_5_haiku+gemma_3_4b_it,Llama-Scout,0.05411904905218935
claude_4_5_haiku+gemma_3_4b_it,Qwen-235B,-0.004502438335074355
claude_4_5_haiku+gemma_3_4b_it,Qwen-30B,-0.015951053505156937
claude_4_5_haiku+gemma_3_4b_it,Qwen-4B,0.0015029719907361794
claude_4_5_haiku+gemma_3_4b_it,GPT-120B,-0.042451962840075706
claude_4_5_haiku+gemma_3_4b_it,GPT-5,0.058977758569238856
claude_4_5_haiku+gemma_3_4b_it,Claude-Sonnet,0.02083632004667217
claude_4_5_haiku+gpt_120b_oss,Gemma-27B,0.006119522732529248
claude_4_5_haiku+gpt_120b_oss,Gemma-12B,-0.0102410416724949
claude_4_5_haiku+gpt_120b_oss,Gemma-4B,0.14568507156843835
claude_4_5_haiku+gpt_120b_oss,Llama-Mav,0.0011726918908163686
claude_4_5_haiku+gpt_120b_oss,Llama-Scout,0.03949637390556715
claude_4_5_haiku+gpt_120b_oss,Qwen-235B,-0.005229365158308297
claude_4_5_haiku+gpt_120b_oss,Qwen-30B,-0.015567644031880823
claude_4_5_haiku+gpt_120b_oss,Qwen-4B,0.0019755689430848433
claude_4_5_haiku+gpt_120b_oss,GPT-5,0.049818333111750795
