Generator,score_delta,score_delta_norm,rank_delta
Gemma-27B,0.007584723106866587,0.016479298880756006,0.1111111111111111
Gemma-12B,0.010695738164694034,0.022597120530107016,0.1111111111111111
Gemma-4B,0.03156156237341709,0.06996445099934277,-0.4444444444444444
Llama-Mav,0.03621827837100857,0.09153552154434942,0.2222222222222222
Llama-Scout,0.03825672807280568,0.09799326261441443,-0.2222222222222222
Qwen-235B,-0.0003587038788541657,0.001783255652059384,0.0
Qwen-30B,0.008291294491316405,0.017273076993404683,-0.4444444444444444
Qwen-4B,0.01812830828896611,0.03775212969217511,-0.2222222222222222
GPT-120B,-0.0030194753802323454,-0.002435883078356451,0.2222222222222222
GPT-5,-0.03208482262028562,-0.043845898309593255,0.3333333333333333
Claude-Haiku,0.017377758464991386,0.037833887788440324,0.0
Claude-Sonnet,0.008798486684939162,0.0191205460252338,0.3333333333333333
