Generator,Reference_mean,SR_mean
Gemma-27B,0.6226239091375944,0.6169152257862298
Gemma-12B,0.6108679519976979,0.6079863117528173
Gemma-4B,0.536269397026158,0.5508958082834229
Llama-Mav,0.4495120446496556,0.4706525443727229
Llama-Scout,0.4431660786710458,0.466178374663959
Qwen-235B,0.6330646364764158,0.6209611056308914
Qwen-30B,0.6070413627390462,0.6023761292575894
Qwen-4B,0.5643338224716455,0.568084491424862
GPT-120B,0.6530417072095371,0.6387676750539887
GPT-5,0.7258696757832208,0.6853291888462976
Claude-Haiku,0.5422505310939923,0.5452680722615294
Claude-Sonnet,0.5717968754694641,0.5678945082131931
