Generator,Reference_mean,SR_mean
Gemma-27B,0.6248032179432216,0.6181209027564771
Gemma-12B,0.6136737016375071,0.609393575357908
Gemma-4B,0.5345444357665058,0.5492614204121894
Llama-Mav,0.44207166117527336,0.46542426451571195
Llama-Scout,0.4357615679459268,0.4608130506873841
Qwen-235B,0.6357274433968775,0.6218044558656616
Qwen-30B,0.6081125583346749,0.6019026308949045
Qwen-4B,0.5631591672366159,0.566813256622353
GPT-120B,0.657986098518948,0.6416214359985513
GPT-5,0.7333204763220142,0.6894243436477037
Claude-Haiku,0.5396785533502606,0.5438059443152722
Claude-Sonnet,0.5718997088113408,0.5676405866858105
