Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
gemma_3_12b_it+gemma_3_27b_it,2,SR,0.8823940847322143,0.03264055422328804,0.03264055422328804,0.03264055422328804,0.03264055422328804
gemma_3_12b_it+gemma_3_27b_it,2,AR,0.8947841726618705,0.0350386357580602,0.0350386357580602,0.0350386357580602,0.0350386357580602
gemma_3_12b_it+gemma_3_4b_it,2,SR,0.8831934452438049,0.05455635491606712,0.05455635491606712,0.05455635491606712,0.05455635491606712
gemma_3_12b_it+gemma_3_4b_it,2,AR,0.8959832134292566,0.06041833200106581,0.06041833200106581,0.06041833200106581,0.06041833200106581
gemma_3_12b_it+gpt_120b_oss,2,SR,0.8848920863309353,0.005608846256328272,0.005608846256328272,0.006294964028776979,0.006294964028776979
gemma_3_12b_it+gpt_120b_oss,2,AR,0.8989808153477218,0.004616306954436451,0.004616306954436451,0.005162536637356779,0.005162536637356779
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,SR,0.8636091127098321,0.008066879829469763,0.008066879829469763,0.008951172395417002,0.008951172395417002
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,AR,0.8733013589128698,0.009465760724753532,0.009465760724753532,0.010524913402611247,0.010524913402611247
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,SR,0.8374300559552358,0.014614974686917127,0.014614974686917127,0.016311950439648275,0.016311950439648275
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,AR,0.8569144684252598,0.018784972022382086,0.018784972022382086,0.020958233413269384,0.020958233413269384
gemma_3_12b_it+qwen3_235b_instruct,2,SR,0.8746003197442046,0.00419664268585131,0.00419664268585131,0.004721223021582736,0.004721223021582736
gemma_3_12b_it+qwen3_235b_instruct,2,AR,0.8859912070343725,0.006195043964828135,0.006195043964828135,0.006969424460431646,0.006969424460431646
gemma_3_12b_it+qwen3_30b_instruct,2,SR,0.8719024780175859,0.013722355448974155,0.013722355448974155,0.015437649880095924,0.015437649880095924
gemma_3_12b_it+qwen3_30b_instruct,2,AR,0.894484412470024,0.021116440181188384,0.021116440181188384,0.023755995203836935,0.023755995203836935
gemma_3_12b_it+qwen3_4b_instruct,2,SR,0.8441247002398081,0.01632027711164401,0.01632027711164401,0.018360311750599517,0.018360311750599517
gemma_3_12b_it+qwen3_4b_instruct,2,AR,0.8659072741806555,0.021183053557154274,0.021183053557154274,0.023830935251798566,0.023830935251798566
gemma_3_27b_it+gemma_3_4b_it,2,SR,0.8913868904876099,0.054289901412203564,0.054289901412203564,0.054289901412203564,0.054289901412203564
gemma_3_27b_it+gemma_3_4b_it,2,AR,0.8951838529176659,0.05575539568345323,0.05575539568345323,0.05575539568345323,0.05575539568345323
gemma_3_27b_it+gpt_120b_oss,2,SR,0.8965827338129496,0.008300026645350386,0.008300026645350386,0.009275912603250735,0.009275912603250735
gemma_3_27b_it+gpt_120b_oss,2,AR,0.9009792166266987,0.00341726618705036,0.00341726618705036,0.0038136157740474297,0.0038136157740474297
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,SR,0.8733013589128698,0.008646416200373042,0.008646416200373042,0.009583999467092996,0.009583999467092996
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct,2,AR,0.875599520383693,0.010971223021582745,0.010971223021582745,0.012181921129762859,0.012181921129762859
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,SR,0.8380295763389288,0.019211297628563807,0.019211297628563807,0.021432853717026377,0.021432853717026377
gemma_3_27b_it+llama_4_scout_17b_16e_instruct,2,AR,0.8576139088729017,0.019784172661870505,0.019784172661870505,0.02208233413269385,0.02208233413269385
gemma_3_27b_it+qwen3_235b_instruct,2,SR,0.8829936051159073,0.011923794297895023,0.011923794297895023,0.013414268585131901,0.013414268585131901
gemma_3_27b_it+qwen3_235b_instruct,2,AR,0.8873900879296562,0.010058619770849982,0.010058619770849982,0.011315947242206238,0.011315947242206238
gemma_3_27b_it+qwen3_30b_instruct,2,SR,0.8786970423661071,0.01811883826272314,0.01811883826272314,0.020383693045563547,0.020383693045563547
gemma_3_27b_it+qwen3_30b_instruct,2,AR,0.896382893685052,0.019584332533972827,0.019584332533972827,0.02203237410071942,0.02203237410071942
gemma_3_27b_it+qwen3_4b_instruct,2,SR,0.8487210231814548,0.020183852917665862,0.020183852917665862,0.0227068345323741,0.0227068345323741
gemma_3_27b_it+qwen3_4b_instruct,2,AR,0.8666067146282974,0.019917399413802307,0.019917399413802307,0.022407074340527588,0.022407074340527588
gemma_3_4b_it+gpt_120b_oss,2,SR,0.9000799360511591,0.012656541433519849,0.012656541433519849,0.014113709032773782,0.014113709032773782
gemma_3_4b_it+gpt_120b_oss,2,AR,0.9027777777777778,0.0113709032773781,0.0113709032773781,0.012656541433519852,0.012656541433519852
