Judge,Method,MRSPB,MRSPB_raw,MRSPB_other,MRSPB_ratio,n_overest_self,n_total_self,n_overest_other,n_total_other
Gemma-27B,SR,0.0330402344790834,0.11270983213429256,0.07966959765520916,1.414715719063545,94,834,598,7506
Gemma-27B,AR,0.03264055422328803,0.11390887290167866,0.08126831867839063,1.401639344262295,95,834,610,7506
Gemma-12B,SR,0.03783639754862776,0.11510791366906475,0.07727151612043699,1.489655172413793,96,834,580,7506
Gemma-12B,AR,0.043032240873967495,0.12350119904076738,0.08046895816679989,1.53476821192053,103,834,604,7506
Gemma-4B,SR,0.08233413269384493,0.16906474820143885,0.08673061550759392,1.9493087557603688,141,834,651,7506
Gemma-4B,AR,0.08033573141486812,0.16786570743405277,0.08752997601918465,1.9178082191780823,140,834,657,7506
Llama-Mav,SR,-0.011270983213429259,0.06354916067146282,0.07482014388489208,0.8493589743589743,53,834,624,8340
Llama-Mav,AR,-0.009472422062350105,0.06594724220623502,0.07541966426858512,0.8744038155802863,55,834,629,8340
Llama-Scout,SR,0.0016786570743405338,0.07314148681055156,0.07146282973621103,1.0234899328859062,61,834,596,8340
Llama-Scout,AR,0.001318944844124717,0.08633093525179857,0.08501199040767385,1.0155148095909734,72,834,709,8340
Qwen-235B,SR,-0.0015987210231814541,0.06235011990407674,0.0639488409272582,0.975,52,834,480,7506
Qwen-235B,AR,-0.007993605115907278,0.06115107913669065,0.06914468425259793,0.884393063583815,51,834,519,7506
Qwen-30B,SR,0.006794564348521173,0.08992805755395683,0.08313349320543566,1.0817307692307692,75,834,624,7506
Qwen-30B,AR,0.008260058619770833,0.09472422062350119,0.08646416200373036,1.0955315870570106,79,834,649,7506
Qwen-4B,SR,0.008393285371702641,0.0815347721822542,0.07314148681055156,1.1147540983606559,68,834,549,7506
Qwen-4B,AR,0.008393285371702641,0.08633093525179857,0.07793764988009592,1.1076923076923078,72,834,585,7506
GPT-120B,SR,0.004676258992805753,0.025179856115107913,0.02050359712230216,1.2280701754385963,21,834,171,8340
GPT-120B,AR,0.00011990407673860559,0.022781774580335732,0.022661870503597126,1.0052910052910051,19,834,189,8340
