Judge,Method,MRD-SP,MRD-SP_d_self,MRD-SP_d_other,MRD-FSP,MRD-FSP_d_family,MRD-FSP_d_nonfamily,MRD-FOSP,MRD-FOSP_d_family,MRD-FOSP_d_nonfamily,MSD-SP,MSD-SP_d_self,MSD-SP_d_other,MSD-SP-norm,MSD-SP-norm_d_self,MSD-SP-norm_d_other,MSD-FSP,MSD-FSP_d_family,MSD-FSP_d_nonfamily,MSD-FSP-norm,MSD-FSP-norm_d_family,MSD-FSP-norm_d_nonfamily,MSD-FOSP,MSD-FOSP_d_family,MSD-FOSP_d_nonfamily,MSD-FOSP-norm,MSD-FOSP-norm_d_family,MSD-FOSP-norm_d_nonfamily
Gemma-27B,SR,-6.888888888888889,-6.0,0.8888888888888888,-3.5555555555555554,-2.6666666666666665,0.8888888888888888,-1.8888888888888888,-1.0,0.8888888888888888,0.042376942561785404,0.10412815773259398,0.06175121517080858,0.050983605573558036,0.11935028248587573,0.0683666769123177,0.0510029437940713,0.11275415896487988,0.06175121517080858,0.06438377863385615,0.13275045554617385,0.0683666769123177,0.055315944410214236,0.11706715958102282,0.06175121517080858,0.07108386516400521,0.1394505420763229,0.0683666769123177
Gemma-27B,AR,-8.0,-7.0,1.0,-4.0,-3.0,1.0,-2.0,-1.0,1.0,0.04182925994386254,0.11306223043746155,0.07123297049359902,0.05084026226966906,0.12959039548022605,0.07875013321055699,0.05394673786540692,0.12517970835900594,0.07123297049359902,0.06856256458169721,0.1473126977922542,0.07875013321055699,0.06000547682617911,0.13123844731977813,0.07123297049359902,0.07742371573771129,0.15617384894826827,0.07875013321055699
Gemma-27B,DA,-9.222222222222221,-8.0,1.2222222222222223,-4.888888888888889,-3.6666666666666665,1.2222222222222223,-2.7222222222222223,-1.5,1.2222222222222223,0.043061545834189086,0.11614294516327794,0.07308139932908886,0.05225958873354487,0.13312146892655374,0.08086188019300887,0.05507633326487296,0.12815773259396182,0.07308139932908886,0.06998145963827378,0.15084333983128265,0.08086188019300887,0.061083726980214914,0.13416512630930377,0.07308139932908886,0.07884239509063821,0.15970427528364708,0.08086188019300887
Gemma-27B,PWC,-10.333333333333334,-8.0,2.3333333333333335,-9.333333333333334,-7.0,2.3333333333333335,-8.833333333333334,-6.5,2.3333333333333335,0.17550738437984278,0.13711981179633675,-0.03838757258350603,0.3581175120158746,0.2813308050336149,-0.07678670698225969,0.15355029033402415,0.11516271775051812,-0.03838757258350603,0.32001878044926274,0.24323207346700304,-0.07678670698225969,0.14257174331111483,0.1041841707276088,-0.03838757258350603,0.3009694146659568,0.2241827076836971,-0.07678670698225969
Gemma-12B,SR,-11.666666666666666,-9.0,2.6666666666666665,-10.666666666666666,-8.0,2.6666666666666665,-10.166666666666666,-7.5,2.6666666666666665,0.054425960156089484,0.10536044362292052,0.050934483466831035,0.06500902486509057,0.12153518123667378,0.05652615637158322,0.06695420004107616,0.1178886835079072,0.050934483466831035,0.08220347890768924,0.13872963527927246,0.05652615637158322,0.0732183199835695,0.12415280345040053,0.050934483466831035,0.09080070592898858,0.1473268623005718,0.05652615637158322
Gemma-12B,AR,-10.0,-8.0,2.0,-8.0,-6.0,2.0,-7.0,-5.0,2.0,0.05066064215786947,0.12230437461491062,0.07164373245704114,0.061883888139862064,0.14108031272210372,0.07919642458224166,0.06092969124392414,0.13257342370096528,0.07164373245704114,0.07674391877126979,0.15594034335351145,0.07919642458224166,0.06606421578695149,0.13770794824399263,0.07164373245704114,0.08417393408697366,0.16337035866921532,0.07919642458224166
Gemma-12B,DA,-5.555555555555555,-4.0,1.5555555555555556,-6.222222222222222,-4.666666666666667,1.5555555555555556,-6.555555555555555,-5.0,1.5555555555555556,0.04473882385157801,0.12199630314232901,0.077257479290751,0.055269590689354206,0.14072494669509594,0.08545535600574174,0.057164373245704114,0.1344218525364551,0.077257479290751,0.07267476124552665,0.15813011725126838,0.08545535600574174,0.06337714794276716,0.14063462723351816,0.077257479290751,0.08137734652361288,0.16683270252935462,0.08545535600574174
Gemma-12B,PWC,-11.88888888888889,-9.0,2.888888888888889,-11.555555555555555,-8.666666666666666,2.888888888888889,-11.38888888888889,-8.5,2.888888888888889,0.231837786366437,0.17845740211729122,-0.05338038424914578,0.4795777673873316,0.3736147757255937,-0.1059629916617379,0.21352153699658316,0.16014115274743737,-0.05338038424914578,0.44569807062143924,0.33973507895970134,-0.1059629916617379,0.20436341231165625,0.15098302806251046,-0.05338038424914578,0.4287582222384931,0.3227952305767552,-0.1059629916617379
Gemma-4B,SR,-8.61111111111111,-7.0,1.6111111111111112,-6.444444444444445,-4.833333333333333,1.6111111111111112,-5.361111111111111,-3.75,1.6111111111111112,0.09166837817484769,0.17067159581022806,0.07900321763538037,0.12021081858873918,0.20756837766953926,0.08735755908080008,0.058499349626891156,0.13750256726227153,0.07900321763538037,0.07453700857921088,0.16189456766001095,0.08735755908080008,0.041914835352912905,0.12091805298829328,0.07900321763538037,0.051700103574446696,0.13905766265524677,0.08735755908080008
Gemma-4B,AR,-8.055555555555555,-5.5,2.5555555555555554,-10.222222222222221,-7.666666666666667,2.5555555555555554,-11.305555555555555,-8.75,2.5555555555555554,0.09091531457520363,0.17406038200862595,0.08314506743342231,0.11978604159787887,0.2116897714499812,0.09190372985210232,0.06062161977134242,0.14376668720476474,0.08314506743342231,0.07726105155714388,0.1691647814092462,0.09190372985210232,0.04547477236941183,0.12861983980283415,0.08314506743342231,0.05599855653677638,0.1479022863888787,0.09190372985210232
