Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean
claude_4_5_haiku+claude_4_5_sonnet,2,SR,0.7908673061550759,0.0038369304556354917,0.0038369304556354917
claude_4_5_haiku+claude_4_5_sonnet,2,AR,0.21003197442046362,-0.009592326139088728,-0.009592326139088728
claude_4_5_haiku+gemma_3_12b_it,2,SR,0.8004596322941646,0.012589928057553958,0.012589928057553958
claude_4_5_haiku+gemma_3_12b_it,2,AR,0.26928457234212627,-0.006851661527920521,-0.006851661527920521
claude_4_5_haiku+gemma_3_27b_it,2,SR,0.8060551558752997,0.017985611510791366,0.017985611510791366
claude_4_5_haiku+gemma_3_27b_it,2,AR,0.26918465227817745,0.025950668036998976,0.025950668036998976
claude_4_5_haiku+gemma_3_4b_it,2,SR,0.8063549160671463,0.01858513189448441,0.01858513189448441
claude_4_5_haiku+gemma_3_4b_it,2,AR,0.26958433253397285,0.02338129496402878,0.02338129496402878
claude_4_5_haiku+gpt_120b_oss,2,SR,0.7878697042366107,-0.0029976019184652283,-0.0029976019184652283
claude_4_5_haiku+gpt_120b_oss,2,AR,0.2654876099120703,-0.009442446043165468,-0.009442446043165468
claude_4_5_haiku+gpt_5,2,SR,0.7928657074340527,-0.0026978417266187047,-0.0026978417266187047
claude_4_5_haiku+gpt_5,2,AR,0.2673860911270983,-0.007194244604316547,-0.007194244604316547
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,SR,0.7923661071143085,0.005695443645083932,0.005695443645083932
claude_4_5_haiku+llama_4_maverick_17b_128e_instruct,2,AR,0.26618705035971224,-0.020983213429256596,-0.020983213429256596
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,SR,0.7756794564348521,0.010791366906474822,0.010791366906474822
claude_4_5_haiku+llama_4_scout_17b_16e_instruct,2,AR,0.2654876099120703,-0.021282973621103117,-0.021282973621103117
claude_4_5_haiku+qwen3_235b_instruct,2,SR,0.7974620303756994,0.0017985611510791394,0.0017985611510791394
claude_4_5_haiku+qwen3_235b_instruct,2,AR,0.26648681055155876,-0.0171291538198013,-0.0171291538198013
claude_4_5_haiku+qwen3_30b_instruct,2,SR,0.802158273381295,0.00351147653305927,0.00351147653305927
claude_4_5_haiku+qwen3_30b_instruct,2,AR,0.26928457234212627,-0.017814319972593355,-0.017814319972593355
claude_4_5_haiku+qwen3_4b_instruct,2,SR,0.7754796163069544,0.004796163069544366,0.004796163069544366
claude_4_5_haiku+qwen3_4b_instruct,2,AR,0.26578737010391684,0.004025351147653306,0.004025351147653306
claude_4_5_sonnet+gemma_3_12b_it,2,SR,0.8290367705835332,-0.0029976019184652283,-0.0029976019184652283
claude_4_5_sonnet+gemma_3_12b_it,2,AR,0.21762589928057555,0.0,0.0
claude_4_5_sonnet+gemma_3_27b_it,2,SR,0.8345323741007195,0.0065947242206235,0.0065947242206235
claude_4_5_sonnet+gemma_3_27b_it,2,AR,0.21762589928057555,0.02877697841726619,0.02877697841726619
claude_4_5_sonnet+gemma_3_4b_it,2,SR,0.8358313349320543,0.008221993833504625,0.008221993833504625
claude_4_5_sonnet+gemma_3_4b_it,2,AR,0.2182254196642686,0.03357314148681055,0.03357314148681055
claude_4_5_sonnet+gpt_120b_oss,2,SR,0.8146482813749001,-0.0010491606714628293,-0.0010491606714628293
claude_4_5_sonnet+gpt_120b_oss,2,AR,0.21502797761790568,-0.006744604316546762,-0.006744604316546762
claude_4_5_sonnet+gpt_5,2,SR,0.8192446043165468,-0.004646282973621104,-0.004646282973621104
claude_4_5_sonnet+gpt_5,2,AR,0.21562749800159872,-0.004796163069544364,-0.004796163069544364
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,SR,0.8216426858513189,-0.010941247002398076,-0.010941247002398076
claude_4_5_sonnet+llama_4_maverick_17b_128e_instruct,2,AR,0.21422861710631494,-0.0151378896882494,-0.0151378896882494
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,SR,0.7999600319744204,-0.0026978417266187073,-0.0026978417266187073
claude_4_5_sonnet+llama_4_scout_17b_16e_instruct,2,AR,0.21372901678657075,-0.015287769784172662,-0.015287769784172662
claude_4_5_sonnet+qwen3_235b_instruct,2,SR,0.8255395683453237,-0.007194244604316552,-0.007194244604316552
claude_4_5_sonnet+qwen3_235b_instruct,2,AR,0.21492805755395683,-0.0171291538198013,-0.0171291538198013
claude_4_5_sonnet+qwen3_30b_instruct,2,SR,0.830335731414868,-0.003511476533059261,-0.003511476533059261
claude_4_5_sonnet+qwen3_30b_instruct,2,AR,0.2175259792166267,-0.017471736896197326,-0.017471736896197326
claude_4_5_sonnet+qwen3_4b_instruct,2,SR,0.8005595523581135,-0.0030832476875642337,-0.0030832476875642337
claude_4_5_sonnet+qwen3_4b_instruct,2,AR,0.21422861710631494,-0.017300445357999315,-0.017300445357999315
gemma_3_12b_it+gemma_3_27b_it,2,SR,0.8823940847322143,0.03264055422328804,0.03264055422328804
gemma_3_12b_it+gemma_3_27b_it,2,AR,0.8947841726618705,0.0350386357580602,0.0350386357580602
gemma_3_12b_it+gemma_3_4b_it,2,SR,0.8831934452438049,0.05455635491606712,0.05455635491606712
gemma_3_12b_it+gemma_3_4b_it,2,AR,0.8959832134292566,0.06041833200106581,0.06041833200106581
gemma_3_12b_it+gpt_120b_oss,2,SR,0.8848920863309353,0.007965056526207607,0.007965056526207607
gemma_3_12b_it+gpt_120b_oss,2,AR,0.8989808153477218,0.006766015758821513,0.006766015758821513
gemma_3_12b_it+gpt_5,2,SR,0.8919864108713029,-0.0031688934566632436,-0.0031688934566632436
gemma_3_12b_it+gpt_5,2,AR,0.293365307753797,-0.0022267899965741694,-0.0022267899965741694
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,SR,0.8636091127098321,0.015159301130524144,0.015159301130524144
gemma_3_12b_it+llama_4_maverick_17b_128e_instruct,2,AR,0.8733013589128698,0.017386091127098317,0.017386091127098317
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,SR,0.8374300559552358,0.02183967112024665,0.02183967112024665
gemma_3_12b_it+llama_4_scout_17b_16e_instruct,2,AR,0.8569144684252598,0.02672147995889003,0.02672147995889003
gemma_3_12b_it+qwen3_235b_instruct,2,SR,0.8746003197442046,0.01159072741806555,0.01159072741806555
gemma_3_12b_it+qwen3_235b_instruct,2,AR,0.8859912070343725,0.013988808952837724,0.013988808952837724
gemma_3_12b_it+qwen3_30b_instruct,2,SR,0.8719024780175859,0.022781774580335742,0.022781774580335742
gemma_3_12b_it+qwen3_30b_instruct,2,AR,0.894484412470024,0.03177458033573142,0.03177458033573142
gemma_3_12b_it+qwen3_4b_instruct,2,SR,0.8441247002398081,0.025379696243005595,0.025379696243005595
gemma_3_12b_it+qwen3_4b_instruct,2,AR,0.8659072741806555,0.03157474020783373,0.03157474020783373
gemma_3_27b_it+gemma_3_4b_it,2,SR,0.8913868904876099,0.054289901412203564,0.054289901412203564
gemma_3_27b_it+gemma_3_4b_it,2,AR,0.8951838529176659,0.05575539568345323,0.05575539568345323
gemma_3_27b_it+gpt_120b_oss,2,SR,0.8965827338129496,0.01062007536827681,0.01062007536827681
gemma_3_27b_it+gpt_120b_oss,2,AR,0.9009792166266987,0.0052243919150394,0.0052243919150394
gemma_3_27b_it+gpt_5,2,SR,0.9047761790567546,0.0011133949982870869,0.0011133949982870869
gemma_3_27b_it+gpt_5,2,AR,0.29356514788169463,0.00856457690990065,0.00856457690990065
