Generator,Reference,SR,AR,DA,PWC
Gemma-27B,0.8724584103512015,0.9248305606900801,0.9407475867734648,0.9498136901094387,0.5703056442427977
Gemma-12B,0.866913123844732,0.9101800506606421,0.9301704662148284,0.9361538988156364,0.5508878059709852
Gemma-4B,0.8222427603203943,0.9019305812281782,0.9192510440199904,0.9290066406517423,0.4709199200881271
Llama-Mav,0.9214417744916821,0.9302731567056891,0.9451975080440884,0.9519408502772644,0.34021359622098996
Llama-Scout,0.8980283425754775,0.9226056000547683,0.9366741973026631,0.9468747860614773,0.3436583954144028
Qwen-235B,0.9251386321626618,0.9419456425001713,0.9520435407681249,0.958307660710618,0.575972292238466
Qwen-30B,0.8909426987060998,0.9244197987266379,0.9412610392277675,0.9480728417881836,0.5564891054724694
Qwen-4B,0.8903265557609364,0.9251044019990418,0.9381803245019513,0.9464297939344151,0.5066282044100898
GPT-120B,0.899260628465804,0.9267132196891902,0.9441021428082426,0.9467857876360648,0.5664687540842809
GPT-5,0.9627233518176218,0.9469432463887179,0.961456835763675,0.9657935341854011,0.6290165985175228
Claude-Haiku,0.8878619839802835,0.90788662969809,0.9288354898336415,0.9366741973026631,0.42157247148005006
Claude-Sonnet,0.9272951324707331,0.9231875128363113,0.9407475867734648,0.946244951050866,0.4678672118598182
